Name	PairID	Coreness
35	0	1.000000
65	0	0.000000
79	0	0.000000
267	0	0.000000
371	0	0.000000
458	0	0.000000
528	0	0.000000
836	0	0.000000
873	0	0.000000
976	0	0.000000
1030	0	0.000000
1136	0	0.000000
1137	0	0.000000
945	0	0.000000
1288	0	0.000000
1294	0	0.000000
1305	0	0.000000
1314	0	0.000000
1337	0	0.000000
1361	0	0.000000
1382	0	0.000000
1405	0	0.000000
1414	0	0.000000
1434	0	0.000000
1440	0	0.000000
1445	0	0.000000
1446	0	0.000000
1450	0	0.000000
1452	0	0.000000
1459	0	0.000000
1460	0	0.000000
1474	0	0.000000
1483	0	0.000000
1484	0	0.000000
1497	0	0.000000
1498	0	0.000000
1505	0	0.000000
1506	0	0.000000
1523	0	0.000000
1533	0	0.000000
1534	0	0.000000
1540	0	0.000000
1547	0	0.000000
1552	0	0.000000
1558	0	0.000000
1560	0	0.000000
1561	0	0.000000
1581	0	0.000000
1594	0	0.000000
1597	0	0.000000
1601	0	0.000000
1613	0	0.000000
1515	0	0.000000
1625	0	0.000000
1627	0	0.000000
1640	0	0.000000
1651	0	0.000000
1649	0	0.000000
1678	0	0.000000
1691	0	0.000000
1694	0	0.000000
1699	0	0.000000
1709	0	0.000000
1721	0	0.000000
1724	0	0.000000
1732	0	0.000000
1734	0	0.000000
1741	0	0.000000
1786	0	0.000000
1796	0	0.000000
1795	0	0.000000
1812	0	0.000000
1823	0	0.000000
1836	0	0.000000
1857	0	0.000000
1869	0	0.000000
1884	0	0.000000
1897	0	0.000000
1898	0	0.000000
1907	0	0.000000
1926	0	0.000000
1928	0	0.000000
1958	0	0.000000
1959	0	0.000000
1960	0	0.000000
1970	0	0.000000
1983	0	0.000000
2005	0	0.000000
2025	0	0.000000
2029	0	0.000000
2039	0	0.000000
2052	0	0.000000
2065	0	0.000000
2074	0	0.000000
2109	0	0.000000
2117	0	0.000000
2129	0	0.000000
2170	0	0.000000
2172	0	0.000000
2177	0	0.000000
2190	0	0.000000
2191	0	0.000000
2215	0	0.000000
2247	0	0.000000
2248	0	0.000000
2264	0	0.000000
2302	0	0.000000
2314	0	0.000000
2340	0	0.000000
2356	0	0.000000
2379	0	0.000000
2390	0	0.000000
2393	0	0.000000
2432	0	0.000000
2433	0	0.000000
2446	0	0.000000
2450	0	0.000000
2453	0	0.000000
2463	0	0.000000
2481	0	0.000000
2482	0	0.000000
2483	0	0.000000
2506	0	0.000000
2509	0	0.000000
2513	0	0.000000
2527	0	0.000000
2528	0	0.000000
2547	0	0.000000
